ASV,Kingdom,Phylum,Class,Order,Family,Genus
ASV_23049,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_23050,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA
ASV_23051,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_23052,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA
ASV_23053,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_23054,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV_23055,Bacteria,Proteobacteria,NA,NA,NA,NA
ASV_23056,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_MBIC10613
ASV_23057,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_23058,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tropicimonas
ASV_23059,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,NA,NA
ASV_23060,Bacteria,Cyanobacteria,Oxyphotobacteria,NA,NA,NA
ASV_23061,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus
ASV_23062,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola
ASV_23063,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV_23064,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_23065,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,NA
ASV_23066,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_23067,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Marinobacterium
ASV_23068,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_23069,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Povalibacter
ASV_23070,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV_23071,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_23072,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_23073,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_23074,Bacteria,Proteobacteria,Deltaproteobacteria,NA,NA,NA
ASV_23075,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_23076,Bacteria,Bacteroidetes,Rhodothermia,Balneolales,Balneolaceae,NA
ASV_23077,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_23078,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,NA
ASV_23079,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_23080,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,NA,NA
ASV_23081,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,NA
ASV_23082,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium
ASV_23083,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,Candidatus_Puniceispirillum
ASV_23084,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,NA,NA
ASV_23085,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseibacterium
ASV_23086,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas
ASV_23087,Bacteria,Tenericutes,Mollicutes,NA,NA,NA
ASV_23088,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,NA,NA
ASV_23089,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_23090,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Eudoraea
ASV_23091,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA
ASV_23092,Bacteria,Planctomycetes,BD7-11,NA,NA,NA
ASV_23093,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV_23094,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_23095,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Haloferula
ASV_23096,Bacteria,Proteobacteria,NA,NA,NA,NA
ASV_23097,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_23098,Bacteria,Proteobacteria,Alphaproteobacteria,Kordiimonadales,Kordiimonadaceae,Kordiimonas
ASV_23099,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola
ASV_23100,Bacteria,Actinobacteria,Actinobacteria,NA,NA,NA
ASV_23101,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307
ASV_23102,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV_23103,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV_23104,Bacteria,Actinobacteria,NA,NA,NA,NA
ASV_23105,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,NA
ASV_23106,Bacteria,Proteobacteria,NA,NA,NA,NA
ASV_23107,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV_23108,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3
ASV_23109,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_23110,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Prostomatea,Cryptocaryon
ASV_23111,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter
